pathway,NES,padj,size
Golgi Vesicle Transport (GO:0048193),1.4861538649414674,0.0,197
Positive Regulation Of Leukocyte Differentiation (GO:1902107),1.4855724690929855,0.14647774398326874,7
Membrane Protein Ectodomain Proteolysis (GO:0006509),1.4854074163343496,0.18505510687828064,22
Immunoglobulin Mediated Immune Response (GO:0016064),1.4850649931079052,0.19450455904006958,30
Regulation Of Plasminogen Activation (GO:0010755),1.4844136465142508,0.2089814692735672,16
Protein-Containing Complex Disassembly (GO:0032984),1.4829573177905147,0.03315972164273262,62
Cellular Response To Interleukin-4 (GO:0071353),1.4823281797639465,0.15214955806732178,13
Regulation Of Hydrogen Peroxide Metabolic Process (GO:0010310),1.4817939624331256,0.17359690368175507,5
Endosomal Lumen Acidification (GO:0048388),1.4816184507262373,0.19822825491428375,11
Defense Response To Symbiont (GO:0140546),1.4805311789071742,0.0,148
Positive Regulation Of Establishment Of Protein Localization To Telomere (GO:1904851),1.4804618505214655,0.21738511323928833,9
Positive Regulation Of Endopeptidase Activity (GO:0010950),1.4800241348246808,0.1689268797636032,29
Positive Regulation Of Superoxide Anion Generation (GO:0032930),1.4793665232553275,0.22001439332962036,13
Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379),1.4790346371300236,0.08102375268936157,48
Proteolysis Involved In Protein Catabolic Process (GO:0051603),1.4786905188521977,0.059027720242738724,78
Negative Regulation Of Viral Life Cycle (GO:1903901),1.4786513782257273,0.19329887628555298,20
Response To Interferon-Alpha (GO:0035455),1.4782882429922994,0.23520424962043762,17
Purine-Containing Compound Biosynthetic Process (GO:0072522),1.477826523522468,0.21520490944385529,17
Positive Regulation Of Defense Response To Virus By Host (GO:0002230),1.4766373654043423,0.16013175249099731,28
"Regulation Of Retrograde Protein Transport, ER To Cytosol (GO:1904152)",1.4765988853395664,0.20212286710739136,12
Positive Regulation Of Adaptive Immune Response (GO:0002821),1.4737353459670273,0.158314511179924,8
Microglial Cell Activation (GO:0001774),1.473673434868141,0.212947815656662,20
HALLMARK_PANCREAS_BETA_CELLS,1.472426371107597,0.10153787583112717,40
Regulation Of B Cell Activation (GO:0050864),1.4721483042691101,0.15776218473911285,25
Regulation Of Fibroblast Apoptotic Process (GO:2000269),1.4717983122129839,0.22621417045593262,8
Antibacterial Humoral Response (GO:0019731),1.4716854669366528,0.13622990250587463,49
Regulation Of Adaptive Immune Response (GO:0002819),1.4716660408705367,0.19329887628555298,18
Protein Targeting (GO:0006605),1.4715418784740104,0.0,129
Positive Regulation Of Multicellular Organism Growth (GO:0040018),1.4714887338664913,0.1497822403907776,6
Inner Mitochondrial Membrane Organization (GO:0007007),1.4708741038927216,0.1896722912788391,34
Regulation Of Protein Localization To Cajal Body (GO:1904869),1.4706505261184555,0.16902655363082886,10
Positive Regulation Of Protein Localization To Cajal Body (GO:1904871),1.4706505261184555,0.16902655363082886,10
Response To Type II Interferon (GO:0034341),1.470462191978348,0.059027720242738724,80
Cellular Response To Interleukin-2 (GO:0071352),1.4700189104858534,0.2288403958082199,7
Interleukin-2-Mediated Signaling Pathway (GO:0038110),1.4700189104858534,0.2288403958082199,7
Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity (GO:0051342),1.4695987361335914,0.20189805328845978,7
Positive Regulation Of Establishment Of Protein Localization (GO:1904951),1.4690604474185704,0.23214323818683624,18
"Post-Translational Protein Targeting To Membrane, Translocation (GO:0031204)",1.4689526940626647,0.212947815656662,7
Signal Peptide Processing (GO:0006465),1.4685391373502665,0.22249726951122284,13
Regulation Of Defense Response To Virus (GO:0050688),1.4685154513631602,0.23631179332733154,18
Substantia Nigra Development (GO:0021762),1.467878893206446,0.15776218473911285,42
Regulation Of T-helper 1 Cell Differentiation (GO:0045625),1.4678708119969859,0.20030149817466736,6
Negative Regulation Of Neuron Migration (GO:2001223),1.4676753865973982,0.13764065504074097,5
Carbohydrate Catabolic Process (GO:0016052),1.4662676061918805,0.1463189721107483,41
CRD-mediated mRNA Stabilization (GO:0070934),1.466042289394132,0.23019972443580627,10
Positive Regulation Of Defense Response (GO:0031349),1.4659861414002724,0.0,124
Negative Regulation Of Fibroblast Proliferation (GO:0048147),1.465843556684823,0.23520424962043762,17
Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209),1.4656720935907066,0.1174599826335907,38
Positive Regulation Of Interleukin-10 Production (GO:0032733),1.4654856513742582,0.18505510687828064,30
Positive Regulation Of Macrophage Chemotaxis (GO:0010759),1.4653068783502445,0.18151579797267914,13
Positive Regulation Of Cation Channel Activity (GO:2001259),1.464951832557314,0.15451902151107788,38
Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),1.464587621994732,0.10101906955242157,43
Positive Regulation Of Embryonic Development (GO:0040019),1.4636981611847033,0.22176365554332733,20
Linoleic Acid Metabolic Process (GO:0043651),1.4633808327307052,0.212947815656662,19
