pathway,NES,padj,size
Type B Pancreatic Cell Development (GO:0003323),1.4490772885337804,0.4608517289161682,6
Embryonic Placenta Development (GO:0001892),1.4487804146072925,0.482477068901062,8
Histone Lysine Demethylation (GO:0070076),1.4487569078174907,0.5056926608085632,7
Mast Cell Degranulation (GO:0043303),1.446496906071786,0.4942812919616699,10
Mast Cell Activation Involved In Immune Response (GO:0002279),1.446496906071786,0.4942812919616699,10
Regulation Of Fatty Acid Oxidation (GO:0046320),1.4435929943073647,0.5123857259750366,16
Phosphatidylethanolamine Biosynthetic Process (GO:0006646),1.4420042052543989,0.4715416729450226,9
Positive Regulation Of Hemoglobin Biosynthetic Process (GO:0046985),1.4407575816142342,0.4762577414512634,5
Negative Regulation Of Androgen Receptor Signaling Pathway (GO:0060766),1.438678902819684,0.45256832242012024,14
Regulation Of Dendritic Spine Maintenance (GO:1902950),1.4378973179513366,0.5083181262016296,8
Regulation Of Flagellated Sperm Motility (GO:1901317),1.4356504505452699,0.46266311407089233,13
Neuronal Action Potential (GO:0019228),1.4325927543181227,0.4688079357147217,8
Regulation Of Phosphatase Activity (GO:0010921),1.432057260240037,0.45842620730400085,20
Cell Differentiation In Spinal Cord (GO:0021515),1.4307415883025656,0.4688079357147217,9
Intraciliary Transport Involved In Cilium Assembly (GO:0035735),1.4307173516352785,0.5068974494934082,6
Regulation Of Atrial Cardiac Muscle Cell Membrane Depolarization (GO:0060371),1.4295274704644272,0.4942812919616699,6
Determination Of Left/Right Symmetry (GO:0007368),1.4270816158690967,0.34480980038642883,45
Mitral Valve Morphogenesis (GO:0003183),1.427028415038232,0.5563315153121948,9
Chordate Embryonic Development (GO:0043009),1.4242746726673912,0.20963506400585175,59
Endothelial Cell Chemotaxis (GO:0035767),1.4226358474744338,0.5156614780426025,8
Extracellular Transport (GO:0006858),1.4224696250441187,0.46315234899520874,13
Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0048008),1.4223687614976042,0.47890403866767883,15
Response To Hepatocyte Growth Factor (GO:0035728),1.4175610262793896,0.4931194484233856,6
Cellular Response To Hepatocyte Growth Factor Stimulus (GO:0035729),1.4175610262793896,0.4931194484233856,6
Cardiac Right Ventricle Morphogenesis (GO:0003215),1.4153929812987627,0.5048110485076904,12
Vitamin A Metabolic Process (GO:0006776),1.410032244452669,0.5198087096214294,6
Negative Regulation Of Glial Cell Differentiation (GO:0045686),1.4090683740431384,0.5123857259750366,8
Calcitonin Family Receptor Signaling Pathway (GO:0097646),1.401499599693722,0.5563315153121948,6
Protein Localization To Cilium (GO:0061512),1.399760732845161,0.3737137019634247,40
"Negative Regulation Of Complement Activation, Classical Pathway (GO:0045959)",1.3987632568216786,0.5391645431518555,7
Olefinic Compound Biosynthetic Process (GO:0120255),1.3974203034215682,0.5575690269470215,7
Negative Regulation Of Cardiac Muscle Hypertrophy (GO:0010614),1.3972815812864432,0.45256832242012024,12
"Regulation Of Wound Healing, Spreading Of Epidermal Cells (GO:1903689)",1.3949703825449145,0.5211459994316101,7
Regulation Of Interleukin-5 Production (GO:0032674),1.3939566748467223,0.48861807584762573,12
Piecemeal Microautophagy Of The Nucleus (GO:0034727),1.3925321977145657,0.461830735206604,9
Adherens Junction Maintenance (GO:0034334),1.3894107843975647,0.5494529604911804,6
Positive Regulation Of Lipid Catabolic Process (GO:0050996),1.38861816548916,0.4768211841583252,20
Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090189),1.3877052633059215,0.47893431782722473,14
Regulation Of Skeletal Muscle Contraction (GO:0014819),1.3875577888482744,0.5853398442268372,6
Lymphocyte Migration Into Lymphoid Organs (GO:0097021),1.387504716804995,0.5781972408294678,6
Glutamate Receptor Signaling Pathway (GO:0007215),1.386597631844413,0.45425623655319214,35
Heart Morphogenesis (GO:0003007),1.3763775696078642,0.34321653842926025,59
Positive Regulation Of Spindle Assembly (GO:1905832),1.3726347832347634,0.5798766016960144,6
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),1.367369880478978,0.46315234899520874,26
Positive Regulation Of Synapse Maturation (GO:0090129),1.3662140755038885,0.5266847610473633,8
Semaphorin-Plexin Signaling Pathway Involved In Neuron Projection Guidance (GO:1902285),1.3640303942414729,0.5332953333854675,12
Outer Dynein Arm Assembly (GO:0036158),1.3624326543676082,0.5495304465293884,21
Golgi To Plasma Membrane Protein Transport (GO:0043001),1.3618975503778985,0.47163429856300354,28
Cardiac Atrium Morphogenesis (GO:0003209),1.356519461249789,0.5211459994316101,18
Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114),1.3549659469618462,0.4482634961605072,27
Cell Surface Receptor Signaling Pathway Involved In Heart Development (GO:0061311),1.3498651535436639,0.5265593528747559,16
Pituitary Gland Development (GO:0021983),1.3479843827395377,0.5591772794723511,6
Negative Regulation Of Centrosome Duplication (GO:0010826),1.3459512487885215,0.5727642774581909,10
Mesonephric Tubule Development (GO:0072164),1.3427798311679628,0.5090889930725098,16
Long-Term Synaptic Depression (GO:0060292),1.338871872382152,0.5829252004623413,6
Regulation Of Synapse Maturation (GO:0090128),1.3383121524445176,0.532558262348175,10
Coronary Vasculature Morphogenesis (GO:0060977),1.337812604260126,0.5847026705741882,7
Pericardium Development (GO:0060039),1.3340095765503877,0.5853398442268372,7
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib (GO:0002428),1.3320266865047963,0.5886600613594055,13
"Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway, TAP-independent (GO:0002486)",1.3320266865047963,0.5886600613594055,13
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway (GO:0002484),1.3320266865047963,0.5886600613594055,13
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class Ib (GO:0002476),1.3320266865047963,0.5886600613594055,13
Negative Regulation Of Oligodendrocyte Differentiation (GO:0048715),1.3282869096884786,0.6043754816055298,6
Regulation Of SNARE Complex Assembly (GO:0035542),1.3276751315496078,0.5591772794723511,12
Presynaptic Active Zone Organization (GO:1990709),1.3249878046608783,0.615547776222229,5
