gene,score,logfoldchange,pval,pval_adj
ACACA,0.054437000304460526,0.06605973094701767,0.9565870000211509,1.0
TMEM174,0.05440715700387955,17.951223373413086,0.9566107780928618,1.0
SCYGR4,0.05435367673635483,1.7964472770690918,0.9566533844839255,1.0
MTNR1A,0.05432402715086937,1.1339136362075806,0.9566770060217548,1.0
SLC14A2,0.05421314015984535,0.5822449922561646,0.9567653521634419,1.0
HCRTR1,0.05417051538825035,0.28351521492004395,0.9567993123110543,1.0
KIF25,0.05401849374175072,0.23253102600574493,0.9569204291213562,1.0
NXF5,0.053956013172864914,0.52213454246521,0.9569702107372862,1.0
PAF1,0.05378841981291771,0.1193227767944336,0.9571037353207761,1.0
AQP8,0.0537857860326767,0.48023828864097595,0.9571058343794556,1.0
ASIC1,0.053750354796648026,0.08728719502687454,0.9571340620481991,1.0
CATSPERZ,0.05358276516199112,0.06526876240968704,0.9572675881082058,1.0
FGF16,0.05348866805434227,0.9806540012359619,0.9573425599765406,1.0
HNF1A,0.05331411585211754,0.12927956879138947,0.9574816333210734,1.0
CADM3,0.05290217697620392,0.11880457401275635,0.957809850284708,1.0
AC010255.3,0.052873630076646805,0.40682485699653625,0.9578325963995105,1.0
RAB3GAP2,0.05278841778635979,0.11946246027946472,0.9579004903099276,1.0
GATA4,0.05271260440349579,1.7032806873321533,0.9579608964085229,1.0
PADI3,0.052686888724565506,1.489038348197937,0.957981386913829,1.0
NLGN1,0.052651066333055496,0.36636263132095337,0.9580099295447063,1.0
SEPTIN12,0.05260423198342323,0.7793902158737183,0.9580472449643984,1.0
CEBPE,0.05238941311836243,0.2110755443572998,0.9582184083054597,1.0
MYT1,0.05237183719873428,0.4292255640029907,0.9582324135186749,1.0
RP1L1,0.05156160518527031,0.5584026575088501,0.9588780145082052,1.0
TMEM275,0.05109952762722969,2.661043405532837,0.959246211869834,1.0
ZNF766,0.051050297915935516,0.10529878735542297,0.9592854416490173,1.0
EPB42,0.05104007199406624,0.8099255561828613,0.9592935884206393,1.0
USP17L3,0.05098683014512062,0.7108166813850403,0.9593360143692438,1.0
SBSN,0.05088978260755539,0.28117990493774414,0.9594133464535984,1.0
CCDC168,0.050777871161699295,0.44615864753723145,0.9595025232291853,1.0
LVRN,0.05067480728030205,0.13277567923069,0.9595846502863166,1.0
MRGPRE,0.05061916634440422,0.4511626362800598,0.95962898842187,1.0
DAB2,0.0505765825510025,0.04022251069545746,0.9596629236304862,1.0
C5orf58,0.05020774155855179,0.9433434009552002,0.9599568438165824,1.0
CTRB1,0.050156109035015106,0.7257193326950073,0.959997986810877,1.0
AMER1,0.04993055760860443,0.08630717545747757,0.9601777262273576,1.0
GREM2,0.049484603106975555,0.173431396484375,0.9605331060818112,1.0
CACNG7,0.04946105182170868,17.633499145507812,0.9605518764735526,1.0
ZNF550,0.04943450912833214,0.03522879630327225,0.9605730284437063,1.0
LINC02218,0.04940403252840042,1.249480128288269,0.9605973140732931,1.0
HSD3B2,0.049374934285879135,0.8622254729270935,0.9606205029666359,1.0
F2,0.04935157671570778,0.9125112891197205,0.9606391167781008,1.0
PLPPR5,0.0493474081158638,0.8180123567581177,0.9606424384369485,1.0
C5orf47,0.04933600500226021,1.3817071914672852,0.9606515259976649,1.0
RAD21L1,0.049208562821149826,0.42911866307258606,0.9607530876703576,1.0
STMN4,0.04918854683637619,0.47512030601501465,0.9607690380187351,1.0
AC072022.2,0.04914572462439537,0.644943356513977,0.960803163669468,1.0
ADAD2,0.04911843687295914,0.4634036421775818,0.9608249113668192,1.0
HMGA2,0.04889890179038048,0.12305004894733429,0.9609998654437166,1.0
PKHD1,0.048757731914520264,0.06768929213285446,0.9611123660129652,1.0
ERVFRD-1,0.04855699464678764,0.057243041694164276,0.9612723437820946,1.0
SLC5A2,0.04846250265836716,0.3685195744037628,0.9613476482554966,1.0
ACTN3,0.04824060574173927,0.3502919375896454,0.9615244882048799,1.0
C17orf50,0.048240214586257935,0.32702577114105225,0.9615248015858812,1.0
SLC12A8,0.04820745810866356,0.1513325423002243,0.9615509062441507,1.0
RGS17,0.04820120707154274,0.17713719606399536,0.9615558890107391,1.0
OR13C9,0.04812492057681084,0.15528397262096405,0.9616166851516253,1.0
CCDC22,0.04794226959347725,0.18679222464561462,0.9617622520756726,1.0
CRH,0.04770956188440323,0.822759211063385,0.9619477146442168,1.0
MYEOV,0.047693006694316864,0.23347032070159912,0.9619609083255841,1.0
SLC25A48,0.047618962824344635,0.2983412742614746,0.9620199196217044,1.0
MYMK,0.04760044068098068,0.5098962783813477,0.962034680313023,1.0
TRIM55,0.0475730337202549,0.19047436118125916,0.9620565236529262,1.0
C9,0.04750170186161995,0.264590859413147,0.9621133728804983,1.0
LRRD1,0.04737532138824463,0.060878604650497437,0.9622140973981823,1.0
ZNF233,0.04719581454992294,0.15605051815509796,0.9623571623495353,1.0
DCX,0.046987999230623245,17.75138282775879,0.9625227932755622,1.0
TRIM40,0.04693286865949631,1.4600229263305664,0.9625667319689202,1.0
OR8B12,0.04692995920777321,1.0672158002853394,0.962569051132785,1.0
TAS2R9,0.04691265523433685,0.04684552550315857,0.9625828407623047,1.0
LRRTM3,0.04687207564711571,0.5544641017913818,0.9626151837554467,1.0
TRIM9,0.0462031252682209,0.06728477776050568,0.9631483505266683,1.0
QRFP,0.04604560136795044,0.9567862749099731,0.9632739034902265,1.0
RIPPLY1,0.04600919038057327,0.4565507471561432,0.9633029255980193,1.0
EGR4,0.04596546292304993,0.6693502068519592,0.9633377772647136,1.0
GPR142,0.04588257148861885,0.5105267763137817,0.9634038451847877,1.0
OR2C1,0.045545659959316254,0.01368705928325653,0.9636723818929922,1.0
PRSS57,0.045380543917417526,0.1761363297700882,0.9638039876989241,1.0
CYP20A1,0.04532608389854431,0.09461065381765366,0.9638473968320712,1.0
KRTAP15-1,0.045319557189941406,1.9922806024551392,0.9638525996667758,1.0
DMRT1,0.04529450833797455,1.5879392623901367,0.9638725647756785,1.0
SHISAL1,0.045274730771780014,0.3587244153022766,0.9638883300189652,1.0
KHDC3L,0.04523395374417305,0.6814312934875488,0.9639208321654784,1.0
MCMDC2,0.04518774896860123,0.0262032151222229,0.9639576596459788,1.0
FAM24B,0.04511527717113495,0.07289481163024902,0.9640154240957799,1.0
FADS6,0.04510226100683212,0.5338717103004456,0.9640257985232193,1.0
GDF6,0.04482818767428398,0.27833572030067444,0.9642442584220181,1.0
DAAM1,0.044630277901887894,0.07231787592172623,0.9644020088250478,1.0
OR6N2,0.04455588012933731,0.23421207070350647,0.9644613105492363,1.0
MINAR2,0.04451494663953781,17.725431442260742,0.9644939391187579,1.0
EIF4E1B,0.04451494663953781,17.50735855102539,0.9644939391187579,1.0
FGF23,0.04448671266436577,1.864019751548767,0.9645164437767658,1.0
ATP6V1G3,0.04448600485920906,1.6245322227478027,0.964517007960756,1.0
C16orf96,0.04445985332131386,0.23240776360034943,0.9645378514372878,1.0
RBM46,0.04445840045809746,1.3056082725524902,0.9645390111502277,1.0
DLX6,0.04445682838559151,1.0280897617340088,0.9645402648940308,1.0
TMEM238L,0.04440421238541603,0.8206696510314941,0.9645822026747397,1.0
ACER1,0.04403726011514664,0.12846727669239044,0.9648747041744842,1.0
TERB2,0.04368198290467262,6.485574722290039,0.9651579010326806,1.0
CELA3A,0.04365316033363342,1.5916661024093628,0.9651808766876713,1.0
TAS2R42,0.04365174472332001,1.2050596475601196,0.9651820050971197,1.0
